Unmodfied,'-F,'-F+B,'-F+B-G,'-F+B+G,'-F+B+G+S,'-F+B+G+S+ivs,'-F-G,'-F+G,'-F+G+S,'-F+G+S+ivs,'+B-G,'+B,'+B+G,'+B+G+S,'+B+G+S+ivs,'-G,'+G,'+G+S,'+G+S+ivs
,,,,,25.36304,,15.78927,33.45936,32.57567,,2.446657,,,1.234684,,,,,2.16998
0.731651,,,,,,27.39437,,34.47785,,34.97179,,5.55874,5.170468,1.578549,1.714116,1.84295,,,2.829085
0.452188,,,,,37.37706,,,,,,,2.459755,1.803431,2.2033,1.727735,2.945609,1.805295,,
,,,,,,29.9189,23.12277,39.98686,,36.50033,,,,,,,,,1.812073
0.90378,,,,,42.43508,30.94748,,39.98835,53.25828,34.67039,3.350257,2.760793,3.332598,1.885136,1.522656,2.64692,2.728415,,2.33124
,,,,,31.32968,28.12924,20.45145,,35.63395,38.19592,2.962326,2.740837,3.352195,2.343188,1.826108,2.814787,1.83734,,1.961188
1.129226,,,,,34.44466,,23.43188,40.96173,42.38518,,5.467624,2.540608,,3.371821,,3.637455,2.15178,,
,,,,,,,,35.38957,,,5.312713,,4.719027,4.508223,1.977707,3.684003,,,
1.470468,,,,,,,,,30.42906,,,,,,,,,,
1.727078,,,,,,28.93013,,,,34.70025,,,,1.574268,,,3.163213,,
,,,,,35.08241,,14.87828,,,,2.481165,2.492233,1.888229,,,2.353179,2.937161,,2.64732
2.305868,,,,,44.0306,,,34.16446,35.24981,,,3.763398,,,2.98476,3.567565,,,3.057509
1.356876,36.38727,32.6621,,,40.14516,,,,,,,,,2.839829,,,,,
,30.00628,30.76507,,,53.60313,,,,,,,,,,,,,,
,29.49656,28.05312,20.98366,46.28193,,,,,,,,,,,,,,1.707023,
,19.07993,,21.24561,41.17176,,,,,,,,,,,,,,1.51571,
,,,19.07993,37.84763,,,,,,,,,,,,,,1.286005,
1.25339,,,,,,,,,,,,,,,,,,,
0.932516,,,,,,,,,,,,,,,,,,,
1.003563,,,,,,,,,,,,,,,,,,,
0.882343,,,,,,,,,,,,,,,,,,,
